movie_title,genre,release_date,year,runtime,rating,number_of_voters,approval_index,budget,domestic_revenue,international_revenue,difference_of_revenue,indicator
Nobody (2021),Crime,3/19/2021,2021,92,7.4,259618,6.655882403,16000000,27568035,57512470,69080505,Profit
Nobody (2021),Drama,3/19/2021,2021,92,7.4,259618,6.655882403,16000000,27568035,57512470,69080505,Profit
Old (2021),Drama,7/21/2021,2021,108,5.8,124280,4.873904058,18000000,48276510,89836797,120113307,Profit
Old (2021),Horror,7/21/2021,2021,108,5.8,124280,4.873904058,18000000,48276510,89836797,120113307,Profit
Old (2021),Mystery,7/21/2021,2021,108,5.8,124280,4.873904058,18000000,48276510,89836797,120113307,Profit
Peter Rabbit 2: The Runaway (2021),Adventure,3/26/2021,2021,93,6.2,12247,4.162074502,45000000,40501717,152506414,148008131,Profit
Peter Rabbit 2: The Runaway (2021),Comedy,3/26/2021,2021,93,6.2,12247,4.162074502,45000000,40501717,152506414,148008131,Profit
Peter Rabbit 2: The Runaway (2021),Crime,3/26/2021,2021,93,6.2,12247,4.162074502,45000000,40501717,152506414,148008131,Profit
Reminiscence (2021),Mystery,8/18/2021,2021,116,5.9,57553,4.62603157,67972729,3900193,15449322,-48623214,Loss
Reminiscence (2021),Romance,8/18/2021,2021,116,5.9,57553,4.62603157,67972729,3900193,15449322,-48623214,Loss
Reminiscence (2021),Sci-Fi,8/18/2021,2021,116,5.9,57553,4.62603157,67972729,3900193,15449322,-48623214,Loss
Resident Evil: Welcome to Raccoon City (2021),Action,11/24/2021,2021,107,5.2,55741,4.049300467,25000000,17000612,41909091,33909703,Profit
Resident Evil: Welcome to Raccoon City (2021),Horror,11/24/2021,2021,107,5.2,55741,4.049300467,25000000,17000612,41909091,33909703,Profit
Resident Evil: Welcome to Raccoon City (2021),Sci-Fi,11/24/2021,2021,107,5.2,55741,4.049300467,25000000,17000612,41909091,33909703,Profit
Shang-Chi and the Legend of the Ten Rings (2021),Action,9/1/2021,2021,132,7.4,387558,6.874020872,150000000,224543292,432224634,506767926,Profit
Shang-Chi and the Legend of the Ten Rings (2021),Adventure,9/1/2021,2021,132,7.4,387558,6.874020872,150000000,224543292,432224634,506767926,Profit
Shang-Chi and the Legend of the Ten Rings (2021),Fantasy,9/1/2021,2021,132,7.4,387558,6.874020872,150000000,224543292,432224634,506767926,Profit
Sing 2 (2021),Adventure,12/1/2021,2021,110,7.4,71413,5.953136312,85000000,162790990,404655292,482446282,Profit
Sing 2 (2021),Animation,12/1/2021,2021,110,7.4,71413,5.953136312,85000000,162790990,404655292,482446282,Profit
Sing 2 (2021),Comedy,12/1/2021,2021,110,7.4,71413,5.953136312,85000000,162790990,404655292,482446282,Profit
Space Jam: A New Legacy (2021),Adventure,7/14/2021,2021,115,4.5,73317,3.57719957,150000000,70592228,143987946,64580174,Profit
Space Jam: A New Legacy (2021),Animation,7/14/2021,2021,115,4.5,73317,3.57719957,150000000,70592228,143987946,64580174,Profit
Space Jam: A New Legacy (2021),Comedy,7/14/2021,2021,115,4.5,73317,3.57719957,150000000,70592228,143987946,64580174,Profit
Spider-Man: No Way Home (2021),Action,12/14/2021,2021,148,8.2,766560,8.042900041,200000000,814115070,1910048245,2524163315,Profit
Spider-Man: No Way Home (2021),Adventure,12/14/2021,2021,148,8.2,766560,8.042900041,200000000,814115070,1910048245,2524163315,Profit
Spider-Man: No Way Home (2021),Fantasy,12/14/2021,2021,148,8.2,766560,8.042900041,200000000,814115070,1910048245,2524163315,Profit
Spiral (2021),Crime,5/12/2021,2021,93,5.2,55336,4.046510513,20000000,23216862,39519588,42736450,Profit
Spiral (2021),Drama,5/12/2021,2021,93,5.2,55336,4.046510513,20000000,23216862,39519588,42736450,Profit
